stem,true_id,predicted_id,best_hamming,rotation,accepted,success,rejected,wrong_id,early_exit,outer_mean,border_bright
000000000731,206,-1,9,3,False,False,True,False,False,32.8772,False
000000054007,241,-1,8,2,False,False,True,False,False,11.9107,False
000000054007,45,-1,9,2,False,False,True,False,False,19.8170,False
000000095880,203,-1,8,2,False,False,True,False,False,15.5246,False
000000107741,177,-1,9,0,False,False,True,False,False,1.0357,False
000000107741,210,-1,8,2,False,False,True,False,False,3.1853,False
000000107741,86,-1,9,1,False,False,True,False,False,9.3371,False
000000136941,51,-1,8,3,False,False,True,False,False,15.2277,False
000000136941,15,-1,9,1,False,False,True,False,False,44.9576,False
000000136941,87,-1,7,3,False,False,True,False,False,17.6741,False
000000136941,232,133,6,2,True,False,False,True,False,12.6183,False
000000142108,49,-1,9,1,False,False,True,False,False,1.4018,False
000000142108,72,-1,8,1,False,False,True,False,False,5.0045,False
000000142108,209,-1,7,2,False,False,True,False,False,19.6161,False
000000142108,39,-1,7,2,False,False,True,False,False,27.7812,False
000000194704,170,-1,7,0,False,False,True,False,False,12.2388,False
000000194704,76,-1,9,1,False,False,True,False,False,19.9152,False
000000214247,81,-1,8,2,False,False,True,False,False,18.9888,False
000000214247,96,-1,8,1,False,False,True,False,False,36.2076,False
000000214247,132,-1,10,0,False,False,True,False,False,10.3170,False
000000225617,210,-1,8,2,False,False,True,False,False,3.2054,False
000000225617,161,-1,8,2,False,False,True,False,False,39.6964,False
000000225617,111,-1,8,1,False,False,True,False,False,15.9821,False
000000244361,50,-1,10,0,False,False,True,False,False,0.0223,False
000000264615,248,-1,9,0,False,False,True,False,False,6.9353,False
000000268059,229,-1,8,2,False,False,True,False,False,14.3772,False
000000268059,160,-1,7,3,False,False,True,False,False,18.8571,False
000000268059,233,-1,8,2,False,False,True,False,False,10.4085,False
000000268059,57,-1,9,2,False,False,True,False,False,9.8281,False
000000268059,173,-1,9,1,False,False,True,False,False,11.3638,False
000000357587,136,-1,7,2,False,False,True,False,False,10.5156,False
000000357587,177,-1,10,0,False,False,True,False,False,10.6964,False
